episode,timestep,reward
3,300,-19864.8141
7,600,-21311.2049
10,900,-23662.2279
14,1200,-22242.5999
18,1500,-19908.0223
22,1800,-20790.177
26,2100,-20947.7592
30,2400,-20032.0509
34,2700,-21530.922
37,3000,-18689.7089
40,3300,-21505.332
44,3600,-22638.1139
48,3900,-21497.6915
51,4200,-18703.8389
55,4500,-21573.5483
59,4800,-20765.8974
63,5100,-19611.7578
67,5400,-21311.2677
71,5700,-20572.0747
75,6000,-22719.5366
79,6300,-22660.6571
83,6600,-20611.4382
87,6900,-18618.5307
91,7200,-20329.3409
95,7500,-20693.1593
99,7800,-20856.2255
103,8100,-23032.3419
107,8400,-19806.5798
111,8700,-21375.6272
115,9000,-21309.2421
119,9300,-21399.7747
123,9600,-20451.2204
127,9900,-21647.5184
131,10200,-19072.7509
135,10500,-19571.9539
138,10800,-19401.4615
143,11100,-21849.5498
147,11400,-20913.9014
150,11700,-20861.3982
154,12000,-20281.7326
157,12300,-20283.4547
161,12600,-21100.0764
165,12900,-22770.7706
168,13200,-22756.0467
172,13500,-22621.9867
176,13800,-18527.4027
180,14100,-19912.2692
184,14400,-19550.3491
188,14700,-19363.4309
192,15000,-18970.4589
196,15300,-18185.8762
199,15600,-21239.5267
203,15900,-21612.6698
206,16200,-21954.2283
211,16500,-21020.3389
214,16800,-22526.9096
218,17100,-19472.1541
221,17400,-20748.8976
225,17700,-22072.6325
229,18000,-21733.7595
233,18300,-19324.1899
236,18600,-22188.4098
238,18900,-21735.3107
242,19200,-17668.6537
247,19500,-21741.9653
251,19800,-20541.001
254,20100,-21055.7906
258,20400,-22317.329
262,20700,-19676.0198
266,21000,-18862.505
270,21300,-20343.2326
274,21600,-22171.5235
278,21900,-20118.8192
282,22200,-20860.3137
286,22500,-19065.6725
290,22800,-19761.458
293,23100,-19777.2284
297,23400,-20055.3605
301,23700,-21333.2185
305,24000,-19324.4169
309,24300,-21901.5552
313,24600,-20624.8166
317,24900,-18521.302
321,25200,-21406.3171
324,25500,-19448.7575
328,25800,-20481.6161
332,26100,-21593.5449
336,26400,-19660.4363
340,26700,-23097.9581
344,27000,-21414.1422
348,27300,-20234.1634
352,27600,-21001.3517
357,27900,-21638.7364
361,28200,-22175.4394
365,28500,-21366.1545
369,28800,-18968.2575
372,29100,-21632.4016
376,29400,-19552.8383
379,29700,-19725.1422
383,30000,-20036.2712
387,30300,-19088.4885
391,30600,-20861.0921
396,30900,-20856.4243
400,31200,-21625.8367
404,31500,-19999.7369
408,31800,-18426.1448
412,32100,-18316.9024
416,32400,-21430.4647
420,32700,-20713.1923
424,33000,-21235.3108
428,33300,-19162.4858
432,33600,-17797.0561
435,33900,-20647.1816
439,34200,-20744.6435
443,34500,-21244.0104
447,34800,-22809.248
451,35100,-18161.2091
455,35400,-20370.2272
459,35700,-22160.0495
463,36000,-20440.6716
467,36300,-18295.183
471,36600,-20710.8877
475,36900,-20675.1652
479,37200,-21728.3848
483,37500,-18427.9115
487,37800,-21575.2275
491,38100,-22132.7251
495,38400,-19498.633
499,38700,-19125.9543
502,39000,-18412.0252
506,39300,-21130.7681
509,39600,-20250.3418
